0.994 , 0.556 , 0 , 0 , 0
1.495 , 0.55132 , 0 , 0 , 0
1.996 , 0.54658 , 0 , 0 , 0
2.497 , 0.53568 , 0 , 0 , 0
2.998 , 0.5271 , 0 , 0 , 0
3.499 , 0.51921 , 0 , 0 , 0
4 , 0.51842 , 0 , 0 , 0
4.501 , 0.51984 , 0 , 0 , 0
4.994 , 0.51553 , 0 , 0 , 0
5.495 , 0.51015 , 0 , 0 , 0
6.004 , 0.50618 , 0 , 0 , 0
6.497 , 0.50279 , 0 , 0 , 0
6.998 , 0.50023 , 0 , 0 , 0
7.492 , 0.49679 , 0 , 0 , 0
8 , 0.49366 , 0 , 0 , 0
8.494 , 0.49082 , 0 , 0 , 0
9.002 , 0.48958 , 0 , 0 , 0
9.503 , 0.48738 , 0 , 0 , 0
10.004 , 0.4872 , 0 , 0 , 0
10.999 , 0.48438 , 0 , 0 , 0
12.008 , 0.48257 , 0 , 0 , 0
12.995 , 0.48102 , 0 , 0 , 0
13.997 , 0.47953 , 0 , 0 , 0
14.999 , 0.47937 , 0 , 0 , 0
16.001 , 0.47746 , 0 , 0 , 0
16.996 , 0.47758 , 0 , 0 , 0
18.005 , 0.47712 , 0 , 0 , 0
19.007 , 0.47665 , 0 , 0 , 0
20.009 , 0.47539 , 0 , 0 , 0
22.005 , 0.47648 , 0 , 0 , 0
24.002 , 0.47566 , 0 , 0 , 0
25.998 , 0.47444 , 0 , 0 , 0
28.002 , 0.47375 , 0 , 0 , 0
29.999 , 0.47428 , 0 , 0 , 0
